NAME,AGE,GP,GS,MIN,FGM,FGA,FG%,FG3M,FG3A,FG3%,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,MPG,PER,TEAM,SALARY,YEAR,POS,Segment
Malik Monk,24,53,19.0,1432,251,536,0.468,117.0,297.0,0.394,62,80,0.775,23.0,151.0,174.0,133,38.0,20.0,72.0,90,681,27.02,14.02,Los Angeles Lakers,1669178,2022, SG,Underperforming
Ja Morant,22,48,48.0,1597,482,983,0.49,72.0,217.0,0.332,263,347,0.758,66.0,215.0,281.0,323,59.0,19.0,165.0,70,1299,33.27,27.55,Memphis Grizzlies,9603360,2022, PG,Best
Monte Morris,26,54,53.0,1623,279,577,0.484,92.0,234.0,0.393,48,56,0.857,20.0,140.0,160.0,232,37.0,9.0,56.0,65,698,30.06,14.71,Denver Nuggets,8449074,2022, PG,Average
Marcus Morris Sr.,32,37,37.0,1107,217,493,0.44,76.0,199.0,0.382,83,98,0.847,20.0,156.0,176.0,79,21.0,11.0,47.0,86,593,29.92,15.23,Los Angeles Clippers,15627907,2022, SF,Average
Trey Murphy III,21,42,0.0,521,50,149,0.336,36.0,107.0,0.336,24,28,0.857,28.0,61.0,89.0,20,12.0,6.0,12.0,39,160,12.4,8.67,New Orleans Pelicans,3053760,2022, SG,Underperforming
Dejounte Murray,25,53,53.0,1833,440,952,0.462,68.0,213.0,0.319,119,155,0.768,69.0,376.0,445.0,500,106.0,17.0,131.0,108,1067,34.58,23.26,San Antonio Spurs,15428880,2022, PG,Best
Mike Muscala,30,43,0.0,593,113,248,0.456,70.0,163.0,0.429,48,57,0.842,21.0,108.0,129.0,22,18.0,26.0,14.0,58,344,13.79,20.63,Oklahoma City Thunder,3365385,2022, C,Average
Svi Mykhailiuk,24,45,5.0,660,84,210,0.4,36.0,118.0,0.305,27,32,0.844,20.0,71.0,91.0,40,24.0,4.0,28.0,48,231,14.67,9.56,Toronto Raptors,1729217,2022, SG,Underperforming
Larry Nance Jr.,29,37,11.0,859,102,198,0.515,19.0,62.0,0.306,32,49,0.653,58.0,151.0,209.0,73,38.0,13.0,27.0,67,255,23.22,13.47,Portland Trail Blazers,10690909,2022, PF,Worst
Raul Neto,29,51,7.0,1057,159,350,0.454,26.0,98.0,0.265,62,83,0.747,11.0,90.0,101.0,151,42.0,1.0,62.0,82,406,20.73,12.15,Washington Wizards,1669178,2022, PG,Worst
Georges Niang,28,55,6.0,1278,181,420,0.431,107.0,270.0,0.396,44,51,0.863,21.0,126.0,147.0,83,21.0,10.0,46.0,144,513,23.24,10.59,Philadelphia 76ers,3300000,2022, SF,Worst
Zeke Nnaji,21,39,1.0,651,95,176,0.54,37.0,76.0,0.487,38,62,0.613,55.0,89.0,144.0,15,12.0,13.0,21.0,76,265,16.69,14.24,Denver Nuggets,2498760,2022, PF,Underperforming
Nerlens Noel,27,25,11.0,562,32,60,0.533,0.0,3.0,0.0,21,30,0.7,48.0,93.0,141.0,23,30.0,31.0,20.0,67,85,22.48,11.77,New York Knicks,8000000,2022, C,Worst
Jaylen Nowell,22,43,1.0,629,126,271,0.465,37.0,100.0,0.37,41,55,0.745,15.0,68.0,83.0,88,23.0,6.0,22.0,49,330,14.63,18.02,Minnesota Timberwolves,1782621,2022, SG,Average
Frank Ntilikina,23,47,5.0,589,72,190,0.379,34.0,100.0,0.34,23,24,0.958,7.0,56.0,63.0,54,24.0,6.0,26.0,51,201,12.53,9.3,Dallas Mavericks,1669178,2022, PG,Underperforming
Jusuf Nurkic,27,56,56.0,1578,321,600,0.535,15.0,56.0,0.268,185,268,0.69,167.0,452.0,619.0,157,62.0,34.0,143.0,189,842,28.18,19.26,Portland Trail Blazers,12000000,2022, C,Overperforming
David Nwaba,29,38,4.0,525,71,152,0.467,10.0,39.0,0.256,41,57,0.719,36.0,104.0,140.0,30,24.0,18.0,18.0,48,193,13.82,14.96,Houston Rockets,4650000,2022, SF,Worst
Jordan Nwora,23,47,10.0,912,148,362,0.409,67.0,183.0,0.366,18,23,0.783,31.0,140.0,171.0,46,23.0,13.0,44.0,57,381,19.4,11.35,Milwaukee Bucks,1517981,2022, SF,Underperforming
Royce O'Neale,28,55,55.0,1727,150,305,0.492,83.0,205.0,0.405,37,46,0.804,43.0,228.0,271.0,137,72.0,26.0,53.0,131,420,31.4,11.54,Utah Jazz,8800000,2022, PF,Average
Chuma Okeke,23,50,10.0,1202,156,399,0.391,77.0,241.0,0.32,39,46,0.848,34.0,203.0,237.0,80,74.0,29.0,39.0,66,428,24.04,13.35,Orlando Magic,3277080,2022, PF,Underperforming
Onyeka Okongwu,21,28,6.0,604,101,137,0.737,0.0,0.0,0.0,48,66,0.727,62.0,92.0,154.0,34,19.0,40.0,32.0,89,250,21.57,19.54,Atlanta Hawks,6104280,2022, PF,Average
Isaac Okoro,21,45,39.0,1305,143,306,0.467,38.0,117.0,0.325,78,102,0.765,48.0,95.0,143.0,83,37.0,14.0,45.0,118,402,29.0,10.16,Cleveland Cavaliers,6720720,2022, SF,Underperforming
Cedi Osman,26,48,3.0,1106,184,437,0.421,97.0,270.0,0.359,61,95,0.642,19.0,92.0,111.0,97,41.0,8.0,47.0,90,526,23.04,13.28,Cleveland Cavaliers,8133334,2022, SF,Underperforming
Kelly Oubre Jr.,26,55,13.0,1570,326,745,0.438,151.0,440.0,0.343,96,141,0.681,65.0,162.0,227.0,62,65.0,23.0,57.0,144,899,28.55,16.8,Charlotte Hornets,12000000,2022, SG,Overperforming
Eric Paschall,25,45,1.0,591,87,179,0.486,34.0,90.0,0.378,50,66,0.758,25.0,66.0,91.0,28,7.0,4.0,25.0,43,258,13.13,14.07,Utah Jazz,1782621,2022, PF,Underperforming
Chris Paul,36,58,58.0,1916,325,667,0.487,60.0,182.0,0.33,156,185,0.843,16.0,243.0,259.0,619,108.0,18.0,138.0,118,866,33.03,20.73,Phoenix Suns,30000000,2022, PG,Average
Cameron Payne,27,40,0.0,815,158,391,0.404,45.0,134.0,0.336,57,66,0.864,16.0,94.0,110.0,144,23.0,12.0,71.0,75,418,20.38,13.66,Phoenix Suns,6500000,2022, PG,Worst
Gary Payton II,29,57,11.0,948,163,264,0.617,36.0,96.0,0.375,29,50,0.58,54.0,142.0,196.0,45,80.0,18.0,29.0,96,391,16.63,19.84,Golden State Warriors,1669178,2022, SG,Average
Mason Plumlee,31,52,52.0,1327,153,240,0.638,0.0,2.0,0.0,44,118,0.373,135.0,284.0,419.0,158,47.0,32.0,71.0,160,350,25.52,15.1,Charlotte Hornets,9248333,2022, C,Average
Jakob Poeltl,26,50,49.0,1455,302,487,0.62,1.0,1.0,1.0,65,139,0.468,196.0,264.0,460.0,146,36.0,89.0,79.0,151,670,29.1,22.0,San Antonio Spurs,8750000,2022, C,Overperforming
Aleksej Pokusevski,20,44,2.0,734,106,265,0.4,32.0,116.0,0.276,11,18,0.611,43.0,147.0,190.0,52,23.0,25.0,52.0,53,255,16.68,11.28,Oklahoma City Thunder,3113160,2022, C,Underperforming
Jordan Poole,22,54,35.0,1554,300,683,0.439,126.0,373.0,0.338,156,169,0.923,25.0,142.0,167.0,190,44.0,16.0,125.0,140,882,28.78,16.21,Golden State Warriors,2161440,2022, SG,Overperforming
Kevin Porter Jr.,21,40,40.0,1194,186,471,0.395,91.0,240.0,0.379,77,127,0.606,30.0,129.0,159.0,242,48.0,10.0,137.0,100,540,29.85,12.28,Houston Rockets,1782621,2022, SG,Underperforming
Otto Porter Jr.,28,49,13.0,1050,156,327,0.477,70.0,180.0,0.389,30,39,0.769,53.0,205.0,258.0,75,53.0,24.0,25.0,65,412,21.43,17.59,Golden State Warriors,1669178,2022, SF,Average
Bobby Portis,27,52,47.0,1504,318,655,0.485,105.0,255.0,0.412,71,96,0.74,133.0,344.0,477.0,66,39.0,41.0,74.0,137,812,28.92,18.9,Milwaukee Bucks,4347600,2022, C,Overperforming
Kristaps Porzingis,26,34,34.0,1002,229,508,0.451,49.0,173.0,0.283,147,170,0.865,64.0,197.0,261.0,69,25.0,59.0,53.0,88,654,29.47,20.89,Dallas Mavericks,31650600,2022, C,Overperforming
Dwight Powell,30,60,49.0,1240,172,263,0.654,13.0,32.0,0.406,99,132,0.75,123.0,144.0,267.0,66,30.0,25.0,46.0,148,456,20.67,15.66,Dallas Mavericks,11080125,2022, C,Average
Norman Powell,28,40,39.0,1333,247,542,0.456,93.0,229.0,0.406,159,198,0.803,17.0,114.0,131.0,82,40.0,17.0,62.0,92,746,32.86,15.08,Los Angeles Clippers,15517241,2022, SF,Average
Taurean Prince,27,49,8.0,764,101,226,0.447,53.0,139.0,0.381,28,37,0.757,18.0,95.0,113.0,44,27.0,13.0,35.0,70,283,15.59,11.7,Minnesota Timberwolves,13000000,2022, PF,Worst
Payton Pritchard,24,51,2.0,644,94,240,0.392,53.0,144.0,0.368,14,14,1.0,16.0,64.0,80.0,93,10.0,4.0,33.0,44,255,12.63,12.2,Boston Celtics,2137440,2022, PG,Underperforming
Immanuel Quickley,22,56,2.0,1187,174,472,0.369,89.0,273.0,0.326,85,93,0.914,20.0,109.0,129.0,166,33.0,3.0,71.0,127,522,21.2,12.29,New York Knicks,2210640,2022, SG,Underperforming
Julius Randle,27,58,58.0,2069,408,980,0.416,93.0,308.0,0.302,232,302,0.768,105.0,485.0,590.0,305,44.0,34.0,206.0,164,1141,35.67,17.36,New York Knicks,21780000,2022, PF,Overperforming
Cam Reddish,22,34,7.0,797,138,343,0.402,58.0,153.0,0.379,72,80,0.9,20.0,64.0,84.0,38,35.0,11.0,44.0,45,406,20.84,13.23,New York Knicks,4670160,2022, SF,Underperforming
Naz Reid,22,58,5.0,924,171,363,0.471,42.0,124.0,0.339,83,112,0.741,80.0,141.0,221.0,52,25.0,61.0,58.0,126,467,15.93,17.58,Minnesota Timberwolves,1782621,2022, C,Average
Josh Richardson,28,44,0.0,1087,152,343,0.443,62.0,156.0,0.397,61,71,0.859,26.0,99.0,125.0,66,34.0,23.0,39.0,82,427,24.52,13.0,Boston Celtics,11615328,2022, SG,Worst
Austin Rivers,29,46,13.0,976,103,248,0.415,56.0,162.0,0.346,20,29,0.69,15.0,65.0,80.0,55,34.0,4.0,39.0,75,282,21.22,7.66,Denver Nuggets,1669178,2022, SG,Worst
Duncan Robinson,27,58,53.0,1570,225,570,0.395,174.0,482.0,0.361,40,48,0.833,20.0,150.0,170.0,90,35.0,11.0,49.0,156,664,27.07,11.22,Miami Heat,15650000,2022, SG,Average
Mitchell Robinson,23,54,45.0,1377,189,249,0.759,0.0,0.0,0.0,68,131,0.519,206.0,266.0,472.0,23,36.0,89.0,43.0,147,446,25.5,20.5,New York Knicks,1802057,2022, C,Average
Jeremiah Robinson-Earl,21,44,36.0,1014,117,292,0.401,50.0,150.0,0.333,30,42,0.714,71.0,183.0,254.0,44,27.0,15.0,35.0,74,314,23.05,11.38,Oklahoma City Thunder,2000000,2022, PF,Underperforming
Derrick Rose,33,26,4.0,636,122,274,0.445,37.0,92.0,0.402,30,31,0.968,21.0,57.0,78.0,103,22.0,12.0,39.0,15,311,24.46,18.53,New York Knicks,13445120,2022, PG,Average
Terrence Ross,31,52,0.0,1255,192,473,0.406,68.0,219.0,0.311,98,113,0.867,16.0,119.0,135.0,102,24.0,12.0,68.0,59,550,24.13,11.46,Orlando Magic,12500000,2022, SG,Average
Terry Rozier,27,52,52.0,1753,359,832,0.431,154.0,427.0,0.361,104,127,0.819,39.0,184.0,223.0,226,59.0,19.0,66.0,84,976,33.71,18.26,Charlotte Hornets,17905263,2022, SG,Overperforming
Ricky Rubio,31,34,8.0,970,149,411,0.363,59.0,174.0,0.339,88,103,0.854,15.0,126.0,141.0,225,49.0,7.0,90.0,75,445,28.53,14.04,Cleveland Cavaliers,17800000,2022, PG,Average
D'Angelo Russell,26,47,47.0,1515,311,747,0.416,140.0,400.0,0.35,143,176,0.813,17.0,145.0,162.0,327,42.0,21.0,120.0,102,905,32.23,18.34,Minnesota Timberwolves,30013500,2022, PG,Overperforming
Domantas Sabonis,25,47,46.0,1632,331,571,0.58,35.0,108.0,0.324,191,258,0.74,155.0,412.0,567.0,236,46.0,22.0,143.0,146,888,34.57,20.77,Sacramento Kings,19800000,2022, PF,Overperforming
Dennis Schroder,28,49,25.0,1433,257,584,0.44,67.0,192.0,0.349,123,145,0.848,28.0,136.0,164.0,208,41.0,5.0,104.0,116,704,29.19,14.77,Houston Rockets,5890000,2022, PG,Average
Alperen Sengun,19,51,5.0,956,156,325,0.48,18.0,66.0,0.273,113,161,0.702,86.0,160.0,246.0,129,41.0,49.0,106.0,146,443,18.75,16.29,Houston Rockets,3214680,2022, C,Underperforming
Landry Shamet,24,47,7.0,928,113,307,0.368,75.0,214.0,0.35,48,56,0.857,11.0,80.0,91.0,73,21.0,4.0,25.0,55,349,19.74,10.22,Phoenix Suns,3768342,2022, SG,Underperforming
Pascal Siakam,27,46,46.0,1728,381,781,0.488,48.0,140.0,0.343,176,239,0.736,94.0,300.0,394.0,236,57.0,32.0,125.0,157,986,37.57,18.23,Toronto Raptors,33003936,2022, PF,Overperforming
Anfernee Simons,22,54,27.0,1584,333,744,0.448,166.0,412.0,0.403,91,102,0.892,26.0,120.0,146.0,208,29.0,6.0,105.0,103,923,29.33,15.56,Portland Trail Blazers,3938818,2022, SG,Overperforming
Marcus Smart,27,52,52.0,1696,208,502,0.414,80.0,246.0,0.325,110,140,0.786,34.0,170.0,204.0,280,95.0,14.0,105.0,126,606,32.62,13.82,Boston Celtics,14339285,2022, PG,Average
Ish Smith,33,37,1.0,511,73,185,0.395,10.0,25.0,0.4,12,19,0.632,11.0,46.0,57.0,98,20.0,10.0,36.0,34,168,14.95,10.99,Washington Wizards,4500000,2022, PG,Worst
Dennis Smith Jr.,24,37,4.0,639,79,189,0.418,6.0,27.0,0.222,42,64,0.656,20.0,68.0,88.0,132,45.0,12.0,51.0,52,206,17.27,12.54,Portland Trail Blazers,1669178,2022, PG,Underperforming
Tony Snell,30,38,10.0,546,36,97,0.371,24.0,75.0,0.32,3,3,1.0,11.0,61.0,72.0,20,8.0,7.0,11.0,44,99,14.88,5.1,New Orleans Pelicans,1669178,2022, SF,Worst
Lamar Stevens,24,42,8.0,593,84,177,0.475,13.0,44.0,0.295,25,40,0.625,29.0,62.0,91.0,25,20.0,9.0,22.0,60,206,14.12,10.86,Cleveland Cavaliers,1517981,2022, F,Underperforming
Isaiah Stewart,20,52,52.0,1349,189,363,0.521,4.0,25.0,0.16,53,77,0.688,162.0,277.0,439.0,55,17.0,59.0,65.0,149,435,25.94,12.79,Detroit Pistons,3277080,2022, C,Underperforming
Max Strus,25,48,9.0,1127,175,401,0.436,123.0,306.0,0.402,33,43,0.767,19.0,131.0,150.0,61,16.0,10.0,37.0,81,506,23.48,13.22,Miami Heat,1669178,2022, SG,Underperforming
Jalen Suggs,20,40,37.0,1114,173,474,0.365,37.0,164.0,0.226,112,145,0.772,25.0,122.0,147.0,170,50.0,16.0,124.0,123,495,27.85,9.97,Orlando Magic,6593040,2022, SG,Underperforming
Jae'Sean Tate,26,57,56.0,1564,282,555,0.508,43.0,149.0,0.289,114,159,0.717,97.0,220.0,317.0,177,55.0,34.0,109.0,214,721,27.44,15.68,Houston Rockets,1517981,2022, SF,Average
Jayson Tatum,23,58,58.0,2094,518,1194,0.434,162.0,486.0,0.333,297,351,0.846,68.0,419.0,487.0,243,57.0,41.0,167.0,134,1495,36.1,21.6,Boston Celtics,28103500,2022, SF,Best
Garrett Temple,35,55,16.0,1054,106,280,0.379,55.0,174.0,0.316,28,41,0.683,29.0,110.0,139.0,71,41.0,23.0,40.0,80,295,19.16,8.56,New Orleans Pelicans,4910000,2022, SF,Worst
Daniel Theis,29,26,21.0,584,84,179,0.469,23.0,79.0,0.291,27,40,0.675,32.0,98.0,130.0,20,11.0,17.0,31.0,62,218,21.55,11.35,Boston Celtics,8280351,2022, C,Worst
Cam Thomas,20,50,2.0,983,191,433,0.441,42.0,155.0,0.271,65,80,0.813,11.0,116.0,127.0,67,28.0,7.0,41.0,50,489,19.66,13.35,Brooklyn Nets,2036280,2022, SG,Underperforming
Matisse Thybulle,24,44,29.0,1157,102,207,0.493,31.0,108.0,0.287,18,25,0.72,26.0,78.0,104.0,52,80.0,47.0,30.0,98,253,26.3,10.26,Philadelphia 76ers,2840160,2022, SG,Underperforming
Obi Toppin,23,55,2.0,826,154,303,0.508,21.0,95.0,0.221,67,90,0.744,51.0,144.0,195.0,48,14.0,23.0,43.0,74,396,15.02,17.52,New York Knicks,5105160,2022, PF,Average
Juan Toscano-Anderson,28,57,5.0,829,101,206,0.49,23.0,76.0,0.303,34,57,0.596,26.0,126.0,152.0,108,40.0,15.0,61.0,91,259,14.54,12.3,Golden State Warriors,1701593,2022, SF,Worst
Karl-Anthony Towns,26,54,54.0,1844,470,905,0.519,114.0,279.0,0.409,262,320,0.819,149.0,374.0,523.0,213,54.0,61.0,170.0,196,1316,34.15,24.98,Minnesota Timberwolves,31650600,2022, C,Best
Gary Trent Jr.,23,50,49.0,1735,331,774,0.428,156.0,393.0,0.397,94,115,0.817,15.0,120.0,135.0,94,92.0,15.0,50.0,104,912,34.7,14.42,Toronto Raptors,16000000,2022, SG,Overperforming
P.J. Tucker,36,54,53.0,1540,169,340,0.497,74.0,163.0,0.454,39,54,0.722,77.0,214.0,291.0,113,42.0,12.0,53.0,131,451,28.52,12.13,Miami Heat,7000000,2022, PF,Average
Myles Turner,25,42,42.0,1235,200,393,0.509,61.0,183.0,0.333,79,105,0.752,65.0,232.0,297.0,44,28.0,118.0,54.0,119,540,29.4,16.33,Indiana Pacers,18000000,2022, C,Average
Jonas Valanciunas,29,54,54.0,1690,373,696,0.536,47.0,125.0,0.376,178,217,0.82,175.0,452.0,627.0,137,26.0,49.0,133.0,175,971,31.3,20.3,New Orleans Pelicans,14000000,2022, C,Overperforming
Fred VanVleet,28,52,52.0,1984,374,901,0.415,208.0,522.0,0.398,156,178,0.876,39.0,195.0,234.0,361,83.0,27.0,139.0,124,1112,38.15,17.24,Toronto Raptors,19675926,2022, SG,Overperforming
Jarred Vanderbilt,22,56,49.0,1450,166,282,0.589,2.0,12.0,0.167,62,97,0.639,174.0,323.0,497.0,75,81.0,39.0,54.0,142,396,25.89,16.22,Minnesota Timberwolves,4050000,2022, PF,Underperforming
Devin Vassell,21,53,14.0,1381,239,551,0.434,93.0,271.0,0.343,51,62,0.823,30.0,198.0,228.0,94,52.0,33.0,41.0,108,622,26.06,14.44,San Antonio Spurs,4235160,2022, SG,Underperforming
Gabe Vincent,25,52,19.0,1254,171,405,0.422,95.0,254.0,0.374,39,47,0.83,20.0,85.0,105.0,175,50.0,12.0,78.0,129,476,24.12,12.11,Miami Heat,1669178,2022, PG,Underperforming
Nikola Vucevic,31,54,54.0,1829,409,873,0.468,80.0,259.0,0.309,70,92,0.761,108.0,523.0,631.0,192,52.0,64.0,104.0,135,968,33.87,19.49,Chicago Bulls,24000000,2022, C,Overperforming
Dean Wade,25,45,25.0,867,88,194,0.454,48.0,131.0,0.366,19,29,0.655,28.0,109.0,137.0,50,26.0,6.0,16.0,74,243,19.27,10.33,Cleveland Cavaliers,1782621,2022, PF,Underperforming
Franz Wagner,20,61,61.0,1947,360,775,0.465,78.0,219.0,0.356,150,177,0.847,66.0,217.0,283.0,181,53.0,28.0,99.0,129,948,31.92,15.48,Orlando Magic,5007840,2022, SF,Overperforming
Moritz Wagner,24,45,0.0,564,119,238,0.5,41.0,124.0,0.331,63,79,0.797,22.0,88.0,110.0,49,13.0,10.0,32.0,82,342,12.53,19.12,Orlando Magic,1729217,2022, C,Average
Kemba Walker,31,37,37.0,948,149,370,0.403,73.0,199.0,0.367,60,71,0.845,14.0,97.0,111.0,131,26.0,7.0,48.0,37,431,25.62,15.22,New York Knicks,8729020,2022, PG,Average
Lonnie Walker IV,23,56,6.0,1289,242,601,0.403,81.0,266.0,0.305,85,108,0.787,15.0,131.0,146.0,124,35.0,17.0,62.0,85,650,23.02,13.0,San Antonio Spurs,4447896,2022, SG,Underperforming
P.J. Washington,23,44,7.0,1119,154,347,0.444,79.0,211.0,0.374,47,65,0.723,57.0,190.0,247.0,89,37.0,42.0,58.0,109,434,25.43,14.54,Charlotte Hornets,4215120,2022, PF,Underperforming
Russell Westbrook,33,58,58.0,2003,403,923,0.437,59.0,200.0,0.295,195,294,0.663,80.0,367.0,447.0,431,61.0,15.0,231.0,173,1060,34.53,14.86,Los Angeles Lakers,44211146,2022, PG,Overperforming
Coby White,22,41,15.0,1156,204,451,0.452,97.0,242.0,0.401,65,77,0.844,13.0,112.0,125.0,117,20.0,10.0,49.0,97,570,28.2,14.71,Chicago Bulls,5837760,2022, PG,Underperforming
Derrick White,27,49,48.0,1486,243,570,0.426,81.0,258.0,0.314,139,160,0.869,25.0,148.0,173.0,274,49.0,42.0,87.0,116,706,29.95,16.56,Boston Celtics,15178571,2022, PG,Average
Hassan Whiteside,32,47,7.0,865,160,254,0.63,0.0,0.0,0.0,81,123,0.659,117.0,250.0,367.0,19,14.0,71.0,41.0,138,401,18.4,22.51,Utah Jazz,1669178,2022, C,Average
Andrew Wiggins,27,55,55.0,1739,365,764,0.478,124.0,303.0,0.409,113,173,0.653,56.0,176.0,232.0,117,56.0,39.0,79.0,105,967,31.62,17.84,Golden State Warriors,31579390,2022, SF,Overperforming
Grant Williams,23,57,15.0,1334,148,300,0.493,87.0,198.0,0.439,50,55,0.909,42.0,142.0,184.0,64,29.0,41.0,42.0,130,433,23.4,12.38,Boston Celtics,2617800,2022, PF,Underperforming
Kenrich Williams,27,49,0.0,1072,146,317,0.461,41.0,121.0,0.339,30,55,0.545,75.0,145.0,220.0,108,44.0,10.0,46.0,81,363,21.88,14.1,Oklahoma City Thunder,2000000,2022, SF,Worst
Lou Williams,35,41,0.0,598,97,248,0.391,30.0,84.0,0.357,50,56,0.893,12.0,53.0,65.0,81,20.0,3.0,33.0,38,274,14.59,12.77,Atlanta Hawks,5000000,2022, SG,Worst
Ziaire Williams,20,42,21.0,917,126,279,0.452,46.0,157.0,0.293,23,29,0.793,15.0,66.0,81.0,36,24.0,7.0,25.0,83,321,21.83,10.18,Memphis Grizzlies,4373040,2022, SG,Underperforming
Robert Williams III,24,49,49.0,1459,217,298,0.728,0.0,1.0,0.0,56,79,0.709,193.0,282.0,475.0,98,43.0,105.0,57.0,106,490,29.78,21.79,Boston Celtics,3661976,2022, C,Overperforming
Christian Wood,26,55,54.0,1696,355,732,0.485,101.0,272.0,0.371,157,263,0.597,97.0,464.0,561.0,121,42.0,51.0,105.0,136,968,30.84,18.8,Houston Rockets,13666667,2022, C,Overperforming
Delon Wright,29,55,5.0,994,87,194,0.448,31.0,79.0,0.392,35,42,0.833,36.0,121.0,157.0,132,55.0,11.0,36.0,40,240,18.07,12.43,Atlanta Hawks,8526316,2022, SG,Worst
Trae Young,23,55,55.0,1898,515,1126,0.457,159.0,421.0,0.378,341,381,0.895,35.0,178.0,213.0,514,54.0,6.0,225.0,88,1530,34.51,24.61,Atlanta Hawks,8326471,2022, PG,Best
Omer Yurtseven,23,43,10.0,606,115,212,0.542,1.0,7.0,0.143,35,55,0.636,72.0,180.0,252.0,44,15.0,18.0,36.0,73,266,14.09,19.06,Miami Heat,1489065,2022, C,Average
Ivica Zubac,24,56,56.0,1351,209,324,0.645,0.0,0.0,0.0,122,171,0.713,146.0,303.0,449.0,77,25.0,53.0,83.0,140,540,24.12,18.39,Los Angeles Clippers,7518518,2022, C,Average
